date,fst,snd,total
2017-08-10,50.0,30.0,80.0
2017-08-21,70.0,27.0,97.0
2017-09-02,60.0,23.0,83.0
2017-09-03,75.0,25.0,100.0
2017-09-06,45.0,20.0,65.0
2017-09-08,35.0,25.0,60.0
2017-09-11,60.0,25.0,85.0
2017-09-18,40.0,26.0,66.0
2017-09-21,60.0,20.0,80.0
2017-09-23,80.0,20.0,100.0
2017-09-29,45.0,25.0,70.0
2017-10-16,32.0,13.0,45.0
2017-10-20,20.0,20.0,40.0
2017-10-25,30.0,25.0,55.0
2017-10-29,72.0,12.0,84.0
2017-11-01,35.0,8.0,43.0
2017-11-05,55.0,14.0,69.0
2017-11-06,55.0,10.0,65.0
2017-11-13,42.0,21.0,63.0
2017-11-17,60.0,20.0,80.0
2017-11-18,35.0,15.0,50.0
2017-11-29,30.0,12.0,42.0
2017-11-30,17.0,7.0,24.0
2017-12-01,20.0,10.0,30.0
2017-12-03,50.0,18.0,68.0
2017-12-04,70.0,20.0,90.0
2017-12-11,45.0,13.0,58.0
2017-12-14,25.0,10.0,35.0
2017-12-15,25.0,15.0,40.0
2017-12-27,6.0,10.0,16.0
2017-12-28,3.0,7.0,10.0
2017-12-30,5.0,6.0,11.0
2017-12-31,5.0,7.0,12.0
2018-01-04,38.5,16.5,55.0
2018-01-05,25.0,25.0,50.0
2018-01-08,25.0,14.0,39.0
2018-01-11,22.5,6.5,29.0
2018-01-12,18.0,15.5,33.5
2018-01-13,30.0,10.0,40.0
2018-01-24,25.0,15.0,40.0
2018-02-03,25.0,9.0,34.0
2018-02-04,50.0,15.0,65.0
2018-02-05,30.0,22.0,52.0
2018-02-07,24.0,26.5,50.5
2018-02-08,15.0,10.0,25.0
2018-02-09,15.0,15.0,30.0
2018-02-10,30.0,20.0,50.0
2018-02-21,40.0,25.0,65.0
2018-02-23,30.0,15.0,45.0
2018-02-24,25.0,9.0,34.0
2018-02-26,30.0,10.0,40.0
2018-03-01,40.0,10.0,50.0
2018-03-02,20.0,10.0,30.0
2018-03-03,30.0,15.0,45.0
2018-03-04,35.0,15.0,50.0
2018-03-05,32.5,13.5,46.0
2018-03-07,36.0,27.0,63.0
