date	locA	locB	total	month	day_of_week	precip_intensity_avg	precip_type	wind_speed_avg	temp_avg	humidity
2018-02-03	25	9	34	february	saturday	0.019	rain	3.25	1.58	0.83
2018-02-04	50	15	65	february	sunday	0.0005	rain	7.05	-1.5	0.76
2018-02-05	30	27	57	february	monday	0.0	no_precip	7.74	-2.71	0.74
2018-02-05	30	17	47	february	monday	0.0	no_precip	7.74	-2.71	0.74
2018-02-07	18	18	36	february	wednesday	0.0	no_precip	3.65	-2.72	0.68
2018-02-07	30	35	65	february	wednesday	0.0	no_precip	3.65	-2.72	0.68
2018-02-08	15	10	25	february	thursday	0.0014	snow	4.45	-0.87	0.74
2018-02-09	15	15	30	february	friday	0.0384	rain	7.55	-3.13	0.85
2018-02-10	30	20	50	february	saturday	0.0089	rain	7.72	0.03	0.78
2018-02-21	40	25	65	february	wednesday	0.0	no_precip	5.29	-1.09	0.75
2018-02-23	30	15	45	february	friday	0.0	no_precip	7.79	-4.86	0.68
2018-02-24	25	9	34	february	saturday	0.0	no_precip	8.92	-5.33	0.6
2018-02-26	30	10	40	february	monday	0.0	no_precip	8.08	-8.43	0.62
2018-03-01	40	10	50	march	thursday	0.0	no_precip	11.05	-11.03	0.56
2018-03-02	20	10	30	march	friday	0.0	no_precip	9.36	-9.56	0.69
2018-03-03	30	15	45	march	saturday	0.014	snow	5.08	-3.55	0.86
2018-03-04	35	15	50	march	sunday	0.0891	rain	4.53	1.05	0.88
2018-03-05	35	15	50	march	monday	0.0	no_precip	4.76	2.27	0.87
2018-03-05	30	12	42	march	monday	0.0	no_precip	4.76	2.27	0.87
2018-03-07	36	27	63	march	wednesday	0.0436	rain	4.08	1.66	0.89
2018-03-09	20	10	30	march	friday	0.0239	rain	4.43	3.47	0.86
2018-03-09	35	28	63	march	friday	0.0239	rain	4.43	3.47	0.86
2018-03-10	40	20	60	march	saturday	0.0374	rain	5.09	9.38	0.87
2018-03-11	25	10	35	march	sunday	0.0734	rain	3.62	8.79	0.86
2018-03-11	15	13	28	march	sunday	0.0734	rain	3.62	8.79	0.86
2018-03-18	75	25	100	march	sunday	0.0	no_precip	9.41	-7.43	0.67
2018-03-24	25	14	39	march	saturday	0.0	no_precip	4.26	4.54	0.78
2018-03-26	25	14	39	march	monday	0.0	no_precip	2.74	4.01	0.84
2018-03-28	35	15	50	march	wednesday	0.0912	rain	4.82	3.06	0.87
2018-03-30	30	15	45	march	friday	0.0052	rain	5.48	3.65	0.84
2018-03-31	30	15	45	march	saturday	0.0	no_precip	4.8	3.38	0.79
2018-03-31	35	20	55	march	saturday	0.0	no_precip	4.8	3.38	0.79
2018-04-01	42	13	55	april	sunday	0.0242	rain	4.21	3.4	0.83
2018-04-02	30	15	45	april	monday	0.032	rain	5.86	6.36	0.79
2018-04-02	35	15	50	april	monday	0.032	rain	5.86	6.36	0.79
2018-04-03	30	17	47	april	tuesday	0.0808	rain	6.05	10.22	0.82
2018-04-06	28	20	48	april	friday	0.0	no_precip	6.35	7.11	0.68
2018-04-07	25	15	40	april	saturday	0.0	no_precip	4.76	11.81	0.7
2018-04-08	60	20	80	april	sunday	0.001	rain	3.08	8.88	0.89
2018-04-09	45	25	70	april	monday	0.0091	rain	4.13	5.48	0.93
2018-04-15	60	20	80	april	sunday	0.0538	rain	3.13	10.55	0.87
2018-04-18	15	20	35	april	wednesday	0.0	no_precip	3.56	15.5	0.65
2018-04-21	41	15	56	april	saturday	0.0	no_precip	3.23	12.78	0.8
2018-04-22	41	15	56	april	sunday	0.0	no_precip	5.0	15.77	0.72
2018-04-22	25	15	40	april	sunday	0.0	no_precip	5.0	15.77	0.72
2018-04-25	25	15	40	april	wednesday	0.0	no_precip	7.91	11.5	0.77
2018-04-26	75	25	100	april	thursday	0.0	no_precip	7.65	8.95	0.71
2018-04-27	30	25	55	april	friday	0.0126	rain	3.48	9.69	0.72
2018-04-27	20	15	35	april	friday	0.0126	rain	3.48	9.69	0.72
2018-04-28	20	15	35	april	saturday	0.0109	rain	4.91	10.85	0.84
2018-04-28	30	25	55	april	saturday	0.0109	rain	4.91	10.85	0.84
2018-04-30	25	25	50	april	monday	0.2745	rain	9.21	4.24	0.89
2018-05-04	40	20	60	may	friday	0.0	no_precip	2.39	10.45	0.71
2018-05-05	35	25	60	may	saturday	0.0	no_precip	4.41	12.57	0.73
2018-05-05	40	20	60	may	saturday	0.0	no_precip	4.41	12.57	0.73
2018-05-16	45	30	75	may	wednesday	0.0	no_precip	7.8	11.48	0.85
2018-05-17	45	30	75	may	thursday	0.0	no_precip	7.32	9.14	0.72
2018-05-18	40	15	55	may	friday	0.0	no_precip	4.33	8.9	0.71
2018-05-19	51	12	63	may	saturday	0.0	no_precip	3.1	9.22	0.78
2018-05-20	40	15	55	may	sunday	0.1448	no_precip	3.75	11.14	0.85
2018-05-21	51	12	63	may	monday	0.0	no_precip	3.13	14.89	0.78
2018-05-25	20	20	40	may	friday	0.0	rain	2.64	14.16	0.91
2018-05-26	25	20	45	may	saturday	0.0014	rain	3.59	18.87	0.78
2018-05-27	20	20	40	may	sunday	0.0	rain	4.08	20.66	0.72
2018-05-28	25	20	45	may	monday	0.0	no_precip	3.48	17.82	0.79
2018-05-28	70	35	105	may	monday	0.0	no_precip	3.48	17.82	0.79
2018-05-30	65	23	88	may	wednesday	0.7592	rain	2.69	16.79	0.88
2018-05-31	65	23	88	may	thursday	0.0866	rain	2.76	17.37	0.87
2018-06-01	30	27	57	june	friday	0.0021	rain	3.63	15.26	0.9
2018-06-02	35	15	50	june	saturday	0.0013	rain	4.03	15.6	0.84
2018-06-03	30	12	42	june	sunday	0.0	no_precip	2.85	15.82	0.82
2018-06-04	35	25	60	june	monday	0.3969	rain	5.15	14.22	0.88
2018-06-08	18	19	37	june	friday	0.0091	rain	3.51	14.3	0.86
2018-06-09	60	25	85	june	saturday	0.0004	rain	4.45	14.98	0.86
2018-06-13	30	25	55	june	wednesday	0.0052	no_precip	4.06	14.73	0.69
2018-06-14	30	25	55	june	thursday	0.0	rain	4.91	14.4	0.78
2018-06-15	15	28	43	june	friday	0.009000000000000001	rain	2.97	15.44	0.77
2018-06-16	36	18	54	june	saturday	0.0	rain	5.02	14.83	0.72
2018-06-23	30	30	60	june	saturday	0.1448	rain	2.89	13.45	0.68
2018-06-24	30	30	60	june	sunday	0.0	rain	4.18	14.81	0.7
2018-06-25	19	31	50	june	monday	0.0168	rain	3.29	16.44	0.73
2018-06-29	30	20	50	june	friday	0.4885	rain	7.23	17.8	0.79
2018-06-30	18	18	36	june	saturday	0.0051	rain	5.76	19.13	0.74
2018-07-01	27	17	44	july	sunday	0.0028	rain	4.47	23.34	0.44
2018-07-01	30	35	65	july	sunday	0.0028	rain	4.47	23.34	0.44
2018-07-04	28	20	48	july	wednesday	0.0163	no_precip	4.79	18.3	0.76
2018-07-08	47	16	63	july	sunday	0.001	rain	4.05	20.38	0.61
