split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-8.637091772896904,-12.74262809753418,-13.109552110944476,-19.8376339503697,-12.094663347516741,-18.58594867161342,-15.2997864314488,-8.711020878383092,-13.847784482515776,-12.317644559420073,-13.524689356486002,3.488522560729968,1,5.730031871795655,1.299589327407058,1.9205556154251098,0.3892687100824729,mae,1662,sqrt,5406,0.8524663770851151,0.03315265056100503,0.2448532156731677,0.4269927420452449,0.1298827681807724,2713,"{'criterion': 'mae', 'max_depth': 1662, 'max_features': 'sqrt', 'max_leaf_nodes': 5406, 'max_samples': 0.8524663770851151, 'min_impurity_decrease': 0.03315265056100503, 'min_samples_leaf': 0.2448532156731677, 'min_samples_split': 0.4269927420452449, 'min_weight_fraction_leaf': 0.1298827681807724, 'n_estimators': 2713}"
-9.226624625069755,-11.644823891775948,-12.357142857142858,-18.934801374162948,-12.185845511300224,-21.710484640938894,-17.739451817103795,-8.942714146205358,-12.703869746281551,-12.257105900691105,-13.7889791848003,4.049317585498157,1,7.394685578346253,1.5822038675587151,2.7490664958953857,0.5153949763328795,mse,1225,auto,2483,0.24692093845517565,0.3357188751541816,0.35515957834979034,0.9292798875167898,0.32418439306116753,3836,"{'criterion': 'mse', 'max_depth': 1225, 'max_features': 'auto', 'max_leaf_nodes': 2483, 'max_samples': 0.24692093845517565, 'min_impurity_decrease': 0.3357188751541816, 'min_samples_leaf': 0.35515957834979034, 'min_samples_split': 0.9292798875167898, 'min_weight_fraction_leaf': 0.32418439306116753, 'n_estimators': 3836}"
-8.731499808175224,-12.282010759626116,-13.273373195103236,-20.075299944196427,-12.071428571428571,-19.302682059151785,-15.929052080426898,-8.714285714285714,-14.003589336688702,-12.437668726994442,-13.688776845517365,3.672633268456828,1,36.183475494384766,7.454621783746918,12.517383813858032,2.257300461352669,mae,3122,auto,2801,0.11705904777915802,0.2420442393055266,0.0743460147995781,0.4473820670259833,0.08710842705063206,17357,"{'criterion': 'mae', 'max_depth': 3122, 'max_features': 'auto', 'max_leaf_nodes': 2801, 'max_samples': 0.11705904777915802, 'min_impurity_decrease': 0.2420442393055266, 'min_samples_leaf': 0.0743460147995781, 'min_samples_split': 0.4473820670259833, 'min_weight_fraction_leaf': 0.08710842705063206, 'n_estimators': 17357}"
-8.688002450125557,-12.384412493024554,-13.495424543108259,-20.14300537109375,-12.071428571428571,-18.696205139160156,-15.494644165039062,-8.714285714285714,-14.169490227332481,-12.464703486515926,-13.636726351751797,3.5707293682599364,1,9.58790123462677,2.0639944876560086,3.761307716369629,1.0644413372093884,mae,6724,log2,9385,0.5003733658476878,0.5653256366941392,0.3058747680823207,0.22232723948981054,0.4552008433570748,3840,"{'criterion': 'mae', 'max_depth': 6724, 'max_features': 'log2', 'max_leaf_nodes': 9385, 'max_samples': 0.5003733658476878, 'min_impurity_decrease': 0.5653256366941392, 'min_samples_leaf': 0.3058747680823207, 'min_samples_split': 0.22232723948981054, 'min_weight_fraction_leaf': 0.4552008433570748, 'n_estimators': 3840}"
-9.251966748918806,-11.653290339878627,-12.357142857142858,-18.929674421037948,-12.21947261265346,-21.79047884259905,-17.83758326939174,-8.92374747140067,-12.669326488788311,-12.259922907902645,-13.808458217676135,4.072745156849225,1,7.147786545753479,1.7238137837083443,2.5743170261383055,0.5656207672981525,mse,4592,auto,6482,0.7333960020216754,0.7750907402277848,0.4577504546935272,0.6834204124474889,0.10773505497926347,3430,"{'criterion': 'mse', 'max_depth': 4592, 'max_features': 'auto', 'max_leaf_nodes': 6482, 'max_samples': 0.7333960020216754, 'min_impurity_decrease': 0.7750907402277848, 'min_samples_leaf': 0.4577504546935272, 'min_samples_split': 0.6834204124474889, 'min_weight_fraction_leaf': 0.10773505497926347, 'n_estimators': 3430}"
-8.68963350568499,-12.414545331682477,-13.52605220249721,-20.199702671595983,-12.071428571428571,-18.72152600969587,-15.552832467215401,-8.714285714285714,-14.19098399235652,-12.457327622633715,-13.658609721971596,3.5870586176294847,1,23.820053362846373,5.015346781183713,9.425995421409606,2.1988883567840736,mae,1947,sqrt,9058,0.9433095649451808,0.1533143289548741,0.4160684363009142,0.1970390956867439,0.164256347545972,10002,"{'criterion': 'mae', 'max_depth': 1947, 'max_features': 'sqrt', 'max_leaf_nodes': 9058, 'max_samples': 0.9433095649451808, 'min_impurity_decrease': 0.1533143289548741, 'min_samples_leaf': 0.4160684363009142, 'min_samples_split': 0.1970390956867439, 'min_weight_fraction_leaf': 0.164256347545972, 'n_estimators': 10002}"
-9.21441377912249,-11.64348656790597,-12.357142857142858,-18.91583251953125,-12.210985456194196,-21.757805960518972,-17.796907697405135,-8.927542550223214,-12.666861607478214,-12.259686396672176,-13.794078025265016,4.065160705528308,1,16.070142722129823,4.126427381179854,5.877177834510803,1.4573460125119535,mse,5886,sqrt,8196,0.4001993028373739,0.064492096113437,0.350288566119745,0.8185865178041276,0.10168937210066467,6824,"{'criterion': 'mse', 'max_depth': 5886, 'max_features': 'sqrt', 'max_leaf_nodes': 8196, 'max_samples': 0.4001993028373739, 'min_impurity_decrease': 0.064492096113437, 'min_samples_leaf': 0.350288566119745, 'min_samples_split': 0.8185865178041276, 'min_weight_fraction_leaf': 0.10168937210066467, 'n_estimators': 6824}"
-9.217215946742467,-11.642135075160436,-12.357142857142858,-18.882980346679688,-12.192000252859932,-21.7883426121303,-17.834022521972656,-8.93934086390904,-12.687250284048227,-12.263072380652794,-13.799266096474469,4.069202802650828,1,21.926290035247803,4.992273869461881,8.193871021270752,1.5835836366623741,mse,777,sqrt,1191,0.2613727019677733,0.0471225694956401,0.12143837739341508,0.6972262903458297,0.06521981704347636,10440,"{'criterion': 'mse', 'max_depth': 777, 'max_features': 'sqrt', 'max_leaf_nodes': 1191, 'max_samples': 0.2613727019677733, 'min_impurity_decrease': 0.0471225694956401, 'min_samples_leaf': 0.12143837739341508, 'min_samples_split': 0.6972262903458297, 'min_weight_fraction_leaf': 0.06521981704347636, 'n_estimators': 10440}"
-9.242090497698102,-11.63328606741769,-12.357142857142858,-18.919956752232142,-12.224097115652901,-21.765126364571707,-17.845603942871094,-8.944644383021764,-12.674243927001953,-12.262820610633263,-13.806008048679518,4.06652234142272,1,8.107336688041688,2.2915875868369677,2.353229212760925,0.4678623644083196,mse,6699,sqrt,7495,0.5541544381099238,0.7992613189561466,0.1585133913940613,0.7076705095357972,0.02600038329605809,3151,"{'criterion': 'mse', 'max_depth': 6699, 'max_features': 'sqrt', 'max_leaf_nodes': 7495, 'max_samples': 0.5541544381099238, 'min_impurity_decrease': 0.7992613189561466, 'min_samples_leaf': 0.1585133913940613, 'min_samples_split': 0.7076705095357972, 'min_weight_fraction_leaf': 0.02600038329605809, 'n_estimators': 3151}"
-9.241273062569755,-11.641751970563616,-12.357142857142858,-18.89813014439174,-12.209002903529576,-21.731454031808035,-17.84049333844866,-8.932908194405693,-12.650488633375902,-12.263258127065805,-13.795716658882473,4.058809177581258,1,29.300481462478636,6.1631208288884425,11.54983355998993,2.6335297980160877,mse,2319,sqrt,7348,0.7641991515245539,0.8314188000675529,0.41171460738934695,0.3370412337779706,0.07659527306537368,14428,"{'criterion': 'mse', 'max_depth': 2319, 'max_features': 'sqrt', 'max_leaf_nodes': 7348, 'max_samples': 0.7641991515245539, 'min_impurity_decrease': 0.8314188000675529, 'min_samples_leaf': 0.41171460738934695, 'min_samples_split': 0.3370412337779706, 'min_weight_fraction_leaf': 0.07659527306537368, 'n_estimators': 14428}"
