split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params
-11.67259585532414,-12.27009121000002,-11.441592005145479,-24.372250964098164,-12.769781038147055,-16.77572697798851,-11.626646354583404,-12.92822132867652,-12.620290622621372,-12.995434806206733,-13.95612024482301,3.783179229257642,1,14.083426809310913,1.9461833862356173,1.3222320556640625,0.15896554615304131,True,mse,4517,auto,1058,84,83,0.052666276684204885,4128,"{'bootstrap': True, 'criterion': 'mse', 'max_depth': 4517, 'max_features': 'auto', 'max_leaf_nodes': 1058, 'min_samples_leaf': 84, 'min_samples_split': 83, 'min_weight_fraction_leaf': 0.052666276684204885, 'n_estimators': 4128}"
-11.249772727272727,-13.428782467532468,-12.942613636363639,-25.744967532467534,-10.584334415584415,-14.416883116883122,-12.719338081273568,-13.669090909090906,-11.643150397989109,-10.722873900293255,-13.729290455576171,4.222944233191841,1,6.630513310432434,0.8557649038977202,0.6449321746826172,0.08097887261171814,True,mae,6609,log2,4954,98,91,0.32264533561324654,1925,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 6609, 'max_features': 'log2', 'max_leaf_nodes': 4954, 'min_samples_leaf': 98, 'min_samples_split': 91, 'min_weight_fraction_leaf': 0.32264533561324654, 'n_estimators': 1925}"
-11.692833467586993,-12.204605701682334,-11.544402479393996,-24.433224937581045,-12.647994132615107,-16.924620788511586,-11.640652611532778,-12.955578142243294,-12.619376852257568,-13.13296693594556,-13.987958724599103,3.805630700552688,1,3.829738998413086,0.5135504160371398,0.6118209600448609,0.0666601167962322,False,mse,6714,sqrt,1604,45,22,0.4710799037132055,1870,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 6714, 'max_features': 'sqrt', 'max_leaf_nodes': 1604, 'min_samples_leaf': 45, 'min_samples_split': 22, 'min_weight_fraction_leaf': 0.4710799037132055, 'n_estimators': 1870}"
-11.345088945492916,-12.597153750608246,-11.422645684402706,-23.22691751926172,-13.069675406503771,-14.15952014340012,-10.947628300095628,-13.010077985859315,-11.873779587526677,-10.64529749951909,-13.247278764473162,3.5112894094335583,1,9.098186802864074,1.2461072343366135,1.2630834341049195,0.13559327381473307,False,mse,7206,auto,3260,30,15,0.15979371608037488,4017,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 7206, 'max_features': 'auto', 'max_leaf_nodes': 3260, 'min_samples_leaf': 30, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.15979371608037488, 'n_estimators': 4017}"
-11.67965632969143,-12.240781427779496,-11.479791314310715,-24.362461876807135,-12.681547565093073,-16.7818559236508,-11.620164174667014,-12.928243954433505,-12.59696319947918,-13.010816595492045,-13.94696822767371,3.7829724549690726,1,11.417913365364075,1.6114694367398308,1.0403284549713134,0.12264972702847429,True,mse,8827,sqrt,9793,75,35,0.35579365736008745,3296,"{'bootstrap': True, 'criterion': 'mse', 'max_depth': 8827, 'max_features': 'sqrt', 'max_leaf_nodes': 9793, 'min_samples_leaf': 75, 'min_samples_split': 35, 'min_weight_fraction_leaf': 0.35579365736008745, 'n_estimators': 3296}"
-11.25152864412344,-13.439197923506237,-12.881017112606697,-25.68205741135916,-10.643118023637557,-14.387816914832781,-12.695804121746127,-13.64646919280707,-11.644070489060214,-10.631081481795267,-13.707504507602996,4.207978677021739,1,10.75679533481598,1.423003593310985,0.9889039278030396,0.12350178236644961,True,mae,7858,log2,1288,81,89,0.05552641440855523,3046,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 7858, 'max_features': 'log2', 'max_leaf_nodes': 1288, 'min_samples_leaf': 81, 'min_samples_split': 89, 'min_weight_fraction_leaf': 0.05552641440855523, 'n_estimators': 3046}"
-11.189277617477329,-13.538669620774938,-13.021357172300085,-25.798459398186317,-10.514323990107172,-14.505744222535434,-12.83605031513443,-13.766880302103559,-11.519027737148631,-10.891178895300909,-13.774832175244379,4.2387625113165095,1,2.764804816246033,0.2936032845375844,0.41727941036224364,0.0713068154294209,False,mae,9338,log2,9908,87,55,0.4877036802036439,1213,"{'bootstrap': False, 'criterion': 'mae', 'max_depth': 9338, 'max_features': 'log2', 'max_leaf_nodes': 9908, 'min_samples_leaf': 87, 'min_samples_split': 55, 'min_weight_fraction_leaf': 0.4877036802036439, 'n_estimators': 1213}"
-11.5804503413931,-12.273470821071674,-11.340641680519166,-24.296748854300393,-12.830842926396901,-16.491917821418106,-11.508516468813617,-12.842524405817938,-12.541635906382947,-12.77128321426121,-13.857590985000977,3.7705298060179917,1,7.0253465414047245,0.9636702936994757,1.0498993635177611,0.12393116906788876,False,mse,2886,sqrt,6913,76,85,0.05968771705269689,3296,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 2886, 'max_features': 'sqrt', 'max_leaf_nodes': 6913, 'min_samples_leaf': 76, 'min_samples_split': 85, 'min_weight_fraction_leaf': 0.05968771705269689, 'n_estimators': 3296}"
-11.252380809774795,-13.42074448969813,-12.940240177287972,-25.739787973167225,-10.588539171058937,-14.423342658855892,-12.73114286597524,-13.666673106944682,-11.6541918481537,-10.707173439263032,-13.729499699576364,4.221476381975001,1,14.74821457862854,2.0905171659234765,1.3921817302703858,0.15551040094862525,True,mae,8113,auto,8174,98,36,0.21193236769425167,4174,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 8113, 'max_features': 'auto', 'max_leaf_nodes': 8174, 'min_samples_leaf': 98, 'min_samples_split': 36, 'min_weight_fraction_leaf': 0.21193236769425167, 'n_estimators': 4174}"
-11.237666595012897,-13.262373710232158,-12.283198086844369,-25.33071797076526,-10.651520851246776,-13.663828252849969,-12.447438493329265,-13.283277397165284,-11.511233461847834,-10.00009707929992,-13.385959955779386,4.173382813332486,1,4.283245539665222,0.5052817200572909,0.40101184844970705,0.05605824691438425,True,mae,6751,sqrt,6593,30,72,0.06181766289992348,1163,"{'bootstrap': True, 'criterion': 'mae', 'max_depth': 6751, 'max_features': 'sqrt', 'max_leaf_nodes': 6593, 'min_samples_leaf': 30, 'min_samples_split': 72, 'min_weight_fraction_leaf': 0.06181766289992348, 'n_estimators': 1163}"
-11.24710910032914,-12.665330029153829,-11.3918811653318,-23.569934601935273,-13.085084604738633,-14.548034485295311,-11.134680498874346,-12.887263750852584,-12.241303713894464,-11.030688181085592,-13.396190328818124,3.577360058133114,1,9.82567081451416,1.3565687152448884,1.398776912689209,0.18296964876567717,False,mse,4819,auto,699,30,17,0.1942926362051055,4436,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 4819, 'max_features': 'auto', 'max_leaf_nodes': 699, 'min_samples_leaf': 30, 'min_samples_split': 17, 'min_weight_fraction_leaf': 0.1942926362051055, 'n_estimators': 4436}"
-11.53930326109884,-12.424118422519086,-11.265757044779743,-24.12530055991064,-13.028160729742705,-16.290330863405263,-11.612025568689035,-12.805140800077835,-12.598379407123272,-12.638706856033677,-13.842941488675665,3.7022546008482733,1,3.1376824378967285,0.4047755923763002,0.5052578687667847,0.058622196636229425,False,mse,9988,auto,5152,29,7,0.3987601662409868,1476,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 9988, 'max_features': 'auto', 'max_leaf_nodes': 5152, 'min_samples_leaf': 29, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.3987601662409868, 'n_estimators': 1476}"
-11.53356032837847,-12.528562523652262,-11.576930446828579,-22.63337134637448,-11.215598206451446,-12.855045922173648,-10.60664440931791,-12.813983352896868,-11.253349063732685,-9.52448053838389,-12.673889946462168,3.4856204484457054,1,9.015370750427246,1.377852000963155,1.2155426025390625,0.17231563596607835,False,mse,6113,auto,7259,23,14,0.09542983369475005,3804,"{'bootstrap': False, 'criterion': 'mse', 'max_depth': 6113, 'max_features': 'auto', 'max_leaf_nodes': 7259, 'min_samples_leaf': 23, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.09542983369475005, 'n_estimators': 3804}"
