Date	Day	1st Drop	2nd Drop	Total number of people fed
10/08/17	Thu	50	30	80
21/08/17	Mon	70	27	97
02/09/17	Sat	60	23	83
03/09/17	Sun	75	25	100
06/09/17	Wed	45	20	65
08/09/17	Fri	35	25	60
11/09/17	Mon	60	25	85
18/09/17	Mon	40	26	66
21/09/17	Thu	60	20	80
23/09/17	Sat	80	20	100
29/09/17	Fri	45	25	70
16/10/17	Mon	32	13	45
20/10/17	Fri	20	20	40
25/10/17	Wed	30	25	55
29/10/17	Sun	72	12	84
01/11/17	Wed	35	8	43
05/11/17	Sun	55	14	69
06/11/17	Mon	55	10	65
13/11/17	Mon	42	21	63
17/11/17	Fri	60	20	80
18/11/17	Sat	35	15	50
29/11/17	Wed	30	12	42
30/11/17	Thu	17	7	24
01/12/17	Fri	20	10	30
03/12/17	Sun	50	18	68
04/12/17	Mon	70	20	90
11/12/17	Mon	45	13	58
14/12/17	Thu	25	10	35
15/12/17	Fri	25	15	40
27/12/17	Wed	6	10	16
28/12/17	Thu	3	7	10
30/12/17	Sat	5	6	11
31/12/17	Sun	5	7	12
04/01/18	Thu	35	20	55
04/01/18	Thu	42	13	55
05/01/18	Fri	25	25	50
08/01/18	Mon	25	14	39
11/01/18	Thu	25	5	30
11/01/18	Thu	20	8	28
12/01/18	Fri	20	20	40
12/01/18	Fri	16	11	27
13/01/18	Sat	30	10	40
24/01/18	Wed	25	15	40
03/02/18	Sat	25	9	34
04/02/18	Sun	50	15	65
05/02/18	Mon	30	27	57
05/02/18	Mon	30	17	47
07/02/18	Wed	18	18	36
07/02/18	Wed	30	35	65
08/02/18	Thu	15	10	25
09/02/18	Fri	15	15	30
10/02/18	Sat	30	20	50
21/02/18	Wed	40	25	65
23/02/18	Fri	30	15	45
24/02/18	Sat	25	9	34
26/02/18	Mon	30	10	40
01/03/18	Thu	40	10	50
02/03/18	Fri	20	10	30
03/03/18	Sat	30	15	45
04/03/18	Sun	35	15	50
05/03/18	Mon	35	15	50
05/03/18	Mon	30	12	42
07/03/18	Wed	36	27	63
09/03/18	Fri	20	10	30
09/03/18	Fri	35	28	63
